Height,Weight,Kindness,IQ,Smoker
160.74,145.0,1.0,99.0,0.0
169.16,40.0,1.0,34.0,0.0
207.85,93.0,1.0,199.0,0.0
158.74,102.0,1.0,104.0,1.0
184.73,57.0,1.0,190.0,0.0
189.71,54.0,1.0,148.0,0.0
155.13,134.0,1.0,38.0,0.0
152.0,171.0,0.0,67.0,0.0
164.89,61.0,1.0,116.0,0.0
158.46,35.0,1.0,71.0,1.0
163.84,135.0,0.0,96.0,0.0
207.09,89.0,1.0,157.0,0.0
154.48,186.0,1.0,46.0,1.0
156.09,43.0,1.0,64.0,0.0
175.01,79.0,1.0,184.0,0.0
162.61,48.0,0.0,68.0,0.0
166.21,35.0,0.0,66.0,1.0
193.75,84.0,1.0,149.0,0.0
200.09,56.0,1.0,195.0,0.0
159.08,38.0,1.0,95.0,1.0
186.77,55.0,1.0,80.0,0.0
166.5,36.0,0.0,104.0,1.0
163.09,47.0,0.0,78.0,0.0
171.18,98.0,1.0,176.0,0.0
167.53,37.0,1.0,54.0,0.0
190.97,92.0,1.0,161.0,0.0
196.94,55.0,1.0,92.0,0.0
167.05,38.0,1.0,113.0,0.0
153.67,45.0,1.0,97.0,1.0
162.89,57.0,1.0,189.0,0.0
163.26,43.0,0.0,103.0,1.0
168.11,36.0,0.0,46.0,1.0
164.83,65.0,1.0,108.0,0.0
153.58,166.0,0.0,93.0,0.0
152.38,164.0,1.0,38.0,0.0
190.51,67.0,1.0,199.0,0.0
156.4,142.0,1.0,87.0,1.0
153.7,47.0,0.0,56.0,0.0
174.26,91.0,1.0,182.0,0.0
167.69,75.0,1.0,93.0,0.0
152.98,43.0,1.0,57.0,0.0
187.87,59.0,1.0,199.0,0.0
156.39,134.0,1.0,58.0,1.0
163.88,115.0,1.0,63.0,0.0
194.9,67.0,1.0,144.0,0.0
151.63,164.0,1.0,95.0,0.0
165.61,89.0,1.0,196.0,0.0
160.61,94.0,1.0,134.0,0.0
158.31,42.0,0.0,105.0,0.0
156.83,185.0,0.0,35.0,1.0
184.88,69.0,1.0,110.0,0.0
162.57,42.0,0.0,90.0,0.0
161.18,38.0,0.0,91.0,1.0
166.32,82.0,1.0,80.0,0.0
155.91,189.0,1.0,31.0,1.0
162.31,47.0,0.0,73.0,1.0
179.89,79.0,1.0,101.0,0.0
156.68,111.0,1.0,40.0,0.0
161.74,39.0,0.0,53.0,0.0
171.95,63.0,1.0,153.0,0.0
168.96,78.0,1.0,137.0,0.0
162.2,130.0,0.0,61.0,1.0
168.17,57.0,1.0,132.0,0.0
157.15,38.0,0.0,114.0,0.0
157.56,39.0,0.0,41.0,1.0
190.89,51.0,1.0,132.0,0.0
156.43,120.0,0.0,79.0,1.0
187.79,84.0,1.0,90.0,0.0
198.21,91.0,1.0,105.0,0.0
155.19,48.0,0.0,73.0,0.0
161.57,45.0,1.0,102.0,1.0
208.78,72.0,1.0,129.0,0.0
168.04,46.0,0.0,114.0,0.0
157.89,50.0,1.0,52.0,0.0
203.66,85.0,1.0,97.0,0.0
159.9,155.0,0.0,71.0,1.0
163.96,144.0,1.0,67.0,1.0
192.46,61.0,1.0,179.0,0.0
158.66,35.0,0.0,86.0,1.0
151.64,132.0,1.0,54.0,1.0
187.89,57.0,1.0,198.0,0.0
185.98,69.0,1.0,85.0,0.0
157.93,39.0,0.0,81.0,0.0
178.88,74.0,1.0,150.0,0.0
160.04,45.0,1.0,96.0,1.0
165.75,50.0,1.0,78.0,1.0
209.32,86.0,1.0,112.0,0.0
166.17,46.0,0.0,52.0,0.0
196.12,84.0,1.0,195.0,0.0
161.31,91.0,1.0,98.0,0.0
152.77,170.0,1.0,97.0,1.0
158.89,36.0,0.0,71.0,1.0
193.93,99.0,1.0,139.0,0.0
164.77,42.0,1.0,74.0,0.0
163.39,134.0,0.0,69.0,1.0
166.39,73.0,1.0,186.0,0.0
154.91,45.0,0.0,102.0,0.0
165.3,36.0,0.0,46.0,1.0
173.94,100.0,1.0,116.0,0.0
151.45,157.0,0.0,118.0,0.0
150.7,48.0,1.0,43.0,0.0
169.14,95.0,1.0,152.0,0.0
161.52,57.0,1.0,199.0,0.0
157.86,171.0,1.0,40.0,0.0
195.26,70.0,1.0,81.0,0.0
152.82,197.0,0.0,103.0,0.0
155.75,42.0,1.0,81.0,1.0
186.2,92.0,1.0,169.0,0.0
156.76,46.0,1.0,58.0,0.0
167.39,86.0,1.0,179.0,0.0
183.8,58.0,1.0,178.0,0.0
155.84,38.0,1.0,30.0,1.0
152.39,160.0,0.0,107.0,1.0
169.23,83.0,1.0,196.0,0.0
150.88,195.0,0.0,120.0,1.0
150.42,112.0,1.0,37.0,0.0
206.71,96.0,1.0,145.0,0.0
169.96,40.0,0.0,55.0,1.0
161.22,142.0,0.0,72.0,0.0
164.35,87.0,1.0,148.0,0.0
164.72,46.0,0.0,32.0,0.0
156.94,41.0,1.0,98.0,1.0
166.28,79.0,1.0,150.0,0.0
171.39,89.0,1.0,129.0,0.0
161.64,35.0,0.0,32.0,1.0
182.95,58.0,1.0,177.0,0.0
150.78,46.0,0.0,109.0,1.0
157.33,47.0,1.0,118.0,0.0
170.65,94.0,1.0,91.0,0.0
165.57,124.0,1.0,56.0,1.0
181.2,94.0,1.0,126.0,0.0
174.04,97.0,1.0,80.0,0.0
154.39,43.0,0.0,68.0,0.0
160.89,45.0,0.0,113.0,0.0
199.14,87.0,1.0,122.0,0.0
152.77,37.0,0.0,105.0,0.0
160.8,120.0,1.0,44.0,1.0
200.21,97.0,1.0,183.0,0.0
167.22,197.0,0.0,76.0,0.0
151.26,196.0,1.0,51.0,0.0
194.47,83.0,1.0,164.0,0.0
158.14,196.0,0.0,109.0,0.0
152.75,104.0,1.0,68.0,0.0
207.73,85.0,1.0,173.0,0.0
169.56,98.0,1.0,195.0,0.0
152.74,103.0,1.0,40.0,1.0
179.66,99.0,1.0,179.0,0.0
161.09,48.0,0.0,110.0,0.0
156.3,42.0,0.0,88.0,1.0
160.21,71.0,1.0,179.0,0.0
150.04,156.0,0.0,62.0,1.0
204.49,70.0,1.0,199.0,0.0
168.4,77.0,1.0,156.0,0.0
152.47,38.0,1.0,67.0,0.0
165.71,162.0,0.0,116.0,0.0
175.57,80.0,1.0,130.0,0.0
153.3,100.0,1.0,96.0,0.0
164.28,146.0,0.0,90.0,0.0
184.06,97.0,1.0,114.0,0.0
169.58,140.0,1.0,73.0,0.0
164.82,107.0,0.0,50.0,1.0
199.01,83.0,1.0,91.0,0.0
153.41,35.0,0.0,52.0,0.0
152.34,113.0,1.0,106.0,0.0
183.08,66.0,1.0,164.0,0.0
185.53,72.0,1.0,126.0,0.0
163.41,125.0,1.0,30.0,0.0
166.72,97.0,1.0,111.0,0.0
152.56,137.0,1.0,72.0,0.0
166.29,46.0,0.0,62.0,0.0
170.78,97.0,1.0,113.0,0.0
158.97,131.0,0.0,95.0,1.0
168.41,59.0,1.0,91.0,0.0
195.23,81.0,1.0,139.0,0.0
155.21,35.0,1.0,48.0,0.0
163.31,49.0,0.0,65.0,0.0
204.92,59.0,1.0,193.0,0.0
169.63,43.0,0.0,30.0,1.0
156.4,166.0,0.0,37.0,0.0
165.4,66.0,1.0,102.0,0.0
155.36,50.0,0.0,57.0,1.0
152.16,111.0,1.0,42.0,0.0
170.8,53.0,1.0,137.0,0.0
153.0,175.0,0.0,32.0,1.0
163.0,38.0,1.0,102.0,0.0
206.69,52.0,1.0,161.0,0.0
199.49,68.0,1.0,174.0,0.0
166.23,194.0,0.0,88.0,1.0
179.02,66.0,1.0,149.0,0.0
162.68,36.0,1.0,68.0,1.0
150.46,47.0,1.0,103.0,1.0
186.95,96.0,1.0,110.0,0.0
160.46,37.0,0.0,34.0,0.0
165.73,78.0,1.0,155.0,0.0
204.7,78.0,1.0,103.0,0.0
156.17,40.0,1.0,67.0,1.0
165.96,49.0,0.0,91.0,0.0
191.97,87.0,1.0,175.0,0.0
162.35,184.0,0.0,75.0,0.0
169.5,159.0,1.0,63.0,1.0
203.45,92.0,1.0,97.0,0.0
157.19,39.0,1.0,77.0,1.0
160.56,35.0,1.0,59.0,1.0
191.74,53.0,1.0,153.0,0.0
161.7,199.0,1.0,36.0,1.0
168.47,35.0,0.0,85.0,1.0
171.25,98.0,1.0,84.0,0.0
201.53,59.0,1.0,147.0,0.0
150.31,36.0,0.0,101.0,1.0
191.46,50.0,1.0,190.0,0.0
164.29,45.0,0.0,101.0,0.0
166.11,102.0,1.0,115.0,0.0
208.14,57.0,1.0,81.0,0.0
167.98,47.0,0.0,47.0,1.0
179.01,63.0,1.0,163.0,0.0
179.48,90.0,1.0,191.0,0.0
165.24,47.0,0.0,90.0,1.0
168.14,109.0,0.0,67.0,1.0
166.23,54.0,1.0,162.0,0.0
164.2,143.0,0.0,107.0,0.0
164.06,50.0,0.0,66.0,1.0
194.43,91.0,1.0,152.0,0.0
151.27,48.0,1.0,34.0,1.0
166.66,47.0,1.0,82.0,1.0
204.31,69.0,1.0,92.0,0.0
161.68,148.0,1.0,103.0,1.0
159.53,39.0,1.0,119.0,1.0
182.38,67.0,1.0,130.0,0.0
163.93,89.0,1.0,133.0,0.0
152.28,157.0,0.0,60.0,1.0
163.59,100.0,1.0,111.0,0.0
165.4,37.0,1.0,117.0,0.0
167.96,170.0,1.0,79.0,0.0
174.93,75.0,1.0,142.0,0.0
166.49,114.0,1.0,79.0,0.0
186.16,90.0,1.0,87.0,0.0
190.43,90.0,1.0,107.0,0.0
153.23,106.0,0.0,87.0,1.0
157.79,167.0,1.0,112.0,0.0
166.23,68.0,1.0,81.0,0.0
165.75,41.0,0.0,40.0,0.0
166.13,173.0,1.0,34.0,1.0
193.46,75.0,1.0,148.0,0.0
166.69,36.0,0.0,106.0,1.0
163.21,40.0,0.0,51.0,0.0
202.47,92.0,1.0,182.0,0.0
151.56,35.0,0.0,112.0,1.0
163.49,137.0,1.0,59.0,1.0
186.67,70.0,1.0,181.0,0.0
178.74,70.0,1.0,132.0,0.0
161.52,40.0,0.0,104.0,0.0
191.83,53.0,1.0,162.0,0.0
154.22,136.0,0.0,41.0,0.0
151.94,45.0,0.0,54.0,0.0
164.28,76.0,1.0,99.0,0.0
154.9,46.0,1.0,92.0,0.0
180.26,75.0,1.0,157.0,0.0
206.41,58.0,1.0,161.0,0.0
166.64,46.0,1.0,99.0,1.0
158.08,160.0,1.0,82.0,0.0
166.51,96.0,1.0,91.0,0.0
155.94,50.0,1.0,61.0,0.0
165.8,39.0,0.0,39.0,1.0
176.61,90.0,1.0,144.0,0.0
153.01,191.0,0.0,58.0,1.0
150.65,37.0,0.0,46.0,1.0
173.39,57.0,1.0,111.0,0.0
163.06,47.0,1.0,114.0,0.0
153.98,184.0,0.0,34.0,1.0
194.9,81.0,1.0,181.0,0.0
174.01,55.0,1.0,109.0,0.0
167.57,37.0,1.0,108.0,0.0
168.1,54.0,1.0,199.0,0.0
157.38,118.0,1.0,56.0,0.0
168.6,46.0,1.0,45.0,1.0
165.2,95.0,1.0,109.0,0.0
151.5,48.0,1.0,60.0,1.0
201.65,51.0,1.0,83.0,0.0
200.2,65.0,1.0,165.0,0.0
157.28,37.0,0.0,74.0,0.0
157.7,128.0,1.0,115.0,1.0
185.79,90.0,1.0,99.0,0.0
164.91,131.0,0.0,65.0,0.0
154.81,121.0,1.0,69.0,1.0
190.24,79.0,1.0,135.0,0.0
164.08,158.0,0.0,74.0,1.0
161.53,37.0,1.0,33.0,0.0
171.97,71.0,1.0,103.0,0.0
161.29,129.0,0.0,80.0,1.0
169.23,107.0,1.0,48.0,0.0
163.85,55.0,1.0,126.0,0.0
206.44,99.0,1.0,128.0,0.0
160.62,199.0,1.0,93.0,0.0
183.16,83.0,1.0,127.0,0.0
155.51,143.0,1.0,117.0,1.0
168.48,163.0,1.0,53.0,0.0
188.98,65.0,1.0,149.0,0.0
160.06,192.0,1.0,73.0,1.0
177.92,69.0,1.0,171.0,0.0
169.8,92.0,1.0,152.0,0.0
155.98,118.0,0.0,112.0,0.0
156.87,37.0,1.0,52.0,1.0
173.6,54.0,1.0,135.0,0.0
152.88,140.0,0.0,105.0,1.0
158.64,40.0,0.0,40.0,1.0
160.98,93.0,1.0,134.0,0.0
164.16,188.0,1.0,67.0,1.0
154.89,132.0,0.0,45.0,0.0
187.6,82.0,1.0,171.0,0.0
160.92,102.0,1.0,50.0,1.0
168.71,38.0,1.0,116.0,1.0
181.11,73.0,1.0,178.0,0.0
185.29,62.0,1.0,135.0,0.0
167.67,45.0,1.0,78.0,1.0
193.94,100.0,1.0,127.0,0.0
152.74,136.0,0.0,49.0,1.0
155.66,50.0,0.0,45.0,0.0
183.56,79.0,1.0,99.0,0.0
167.48,200.0,0.0,114.0,0.0
167.25,61.0,1.0,137.0,0.0
165.88,92.0,1.0,134.0,0.0
151.23,147.0,0.0,103.0,1.0
151.21,198.0,1.0,92.0,0.0
176.39,52.0,1.0,162.0,0.0
165.02,46.0,1.0,44.0,0.0
150.45,37.0,1.0,109.0,1.0
191.54,82.0,1.0,110.0,0.0
168.84,144.0,1.0,41.0,0.0
166.72,108.0,1.0,106.0,1.0
188.05,67.0,1.0,199.0,0.0
151.51,111.0,1.0,95.0,0.0
156.93,158.0,0.0,45.0,0.0
197.11,100.0,1.0,134.0,0.0
163.67,73.0,1.0,143.0,0.0
165.22,157.0,1.0,42.0,1.0
164.37,65.0,1.0,181.0,0.0
167.82,46.0,1.0,56.0,1.0
161.47,42.0,1.0,38.0,0.0
161.51,97.0,1.0,197.0,0.0
169.55,42.0,1.0,77.0,1.0
182.22,80.0,1.0,93.0,0.0
169.65,66.0,1.0,118.0,0.0
150.46,37.0,0.0,110.0,0.0
163.01,46.0,1.0,33.0,0.0
207.48,99.0,1.0,200.0,0.0
159.6,112.0,1.0,80.0,1.0
162.02,42.0,0.0,55.0,1.0
191.07,58.0,1.0,103.0,0.0
155.34,45.0,1.0,115.0,0.0
161.38,35.0,0.0,112.0,0.0
203.56,90.0,1.0,156.0,0.0
159.8,196.0,1.0,88.0,0.0
154.14,118.0,0.0,55.0,0.0
179.84,98.0,1.0,110.0,0.0
193.53,64.0,1.0,105.0,0.0
155.5,36.0,0.0,88.0,1.0
200.94,95.0,1.0,96.0,0.0
152.27,114.0,0.0,66.0,0.0
157.46,169.0,1.0,43.0,0.0
201.42,95.0,1.0,196.0,0.0
154.19,192.0,0.0,86.0,0.0
187.04,77.0,1.0,86.0,0.0
192.02,55.0,1.0,125.0,0.0
164.67,168.0,1.0,48.0,1.0
152.41,162.0,1.0,33.0,0.0
174.44,76.0,1.0,161.0,0.0
161.41,35.0,0.0,41.0,1.0
150.66,142.0,0.0,67.0,0.0
203.7,55.0,1.0,92.0,0.0
168.56,46.0,0.0,80.0,0.0
156.16,39.0,0.0,59.0,0.0
181.49,95.0,1.0,159.0,0.0
153.15,39.0,1.0,50.0,1.0
155.74,49.0,1.0,37.0,0.0
191.17,95.0,1.0,99.0,0.0
163.68,99.0,1.0,82.0,0.0
162.69,46.0,1.0,70.0,0.0
163.86,66.0,1.0,179.0,0.0
168.64,170.0,0.0,33.0,0.0
152.16,188.0,0.0,50.0,1.0
164.7,98.0,1.0,176.0,0.0
159.32,36.0,0.0,57.0,1.0
172.88,65.0,1.0,151.0,0.0
180.44,87.0,1.0,101.0,0.0
163.06,138.0,0.0,62.0,0.0
150.6,38.0,1.0,93.0,0.0
175.43,87.0,1.0,135.0,0.0
163.56,185.0,0.0,42.0,0.0
161.15,49.0,0.0,75.0,0.0
165.17,52.0,1.0,197.0,0.0
158.03,154.0,0.0,116.0,0.0
162.37,35.0,0.0,114.0,0.0
181.16,68.0,1.0,190.0,0.0
164.41,36.0,0.0,31.0,1.0
152.22,50.0,0.0,67.0,1.0
173.64,76.0,1.0,146.0,0.0
206.64,71.0,1.0,96.0,0.0
169.19,47.0,0.0,36.0,0.0
209.51,96.0,1.0,194.0,0.0
169.26,37.0,1.0,113.0,1.0
156.21,114.0,1.0,115.0,0.0
187.36,74.0,1.0,143.0,0.0
161.76,43.0,0.0,43.0,1.0
167.13,68.0,1.0,123.0,0.0
202.0,93.0,1.0,195.0,0.0
168.24,35.0,1.0,80.0,1.0
154.55,166.0,1.0,74.0,0.0
173.61,81.0,1.0,85.0,0.0
159.55,45.0,1.0,98.0,0.0
166.91,44.0,0.0,108.0,1.0
179.76,98.0,1.0,106.0,0.0
161.47,41.0,0.0,56.0,1.0
168.37,166.0,1.0,67.0,0.0
203.28,59.0,1.0,194.0,0.0
167.52,141.0,0.0,43.0,0.0
160.47,168.0,0.0,36.0,1.0
175.27,90.0,1.0,152.0,0.0
183.74,88.0,1.0,154.0,0.0
163.53,136.0,0.0,34.0,1.0
176.79,58.0,1.0,83.0,0.0
159.07,170.0,1.0,120.0,0.0
164.79,35.0,0.0,109.0,0.0
186.0,87.0,1.0,162.0,0.0
157.4,160.0,0.0,96.0,1.0
201.48,83.0,1.0,137.0,0.0
169.85,61.0,1.0,129.0,0.0
157.99,41.0,0.0,50.0,1.0
154.72,188.0,0.0,88.0,0.0
176.04,50.0,1.0,114.0,0.0
154.96,50.0,1.0,44.0,0.0
164.95,141.0,1.0,31.0,0.0
186.54,60.0,1.0,197.0,0.0
168.94,39.0,1.0,31.0,0.0
169.25,47.0,0.0,78.0,1.0
179.44,83.0,1.0,191.0,0.0
158.57,115.0,0.0,44.0,0.0
162.8,36.0,1.0,30.0,0.0
208.04,88.0,1.0,187.0,0.0
209.6,72.0,1.0,187.0,0.0
153.08,48.0,0.0,91.0,0.0
187.57,60.0,1.0,86.0,0.0
165.67,43.0,0.0,71.0,0.0
154.39,39.0,0.0,45.0,0.0
180.08,57.0,1.0,182.0,0.0
166.07,128.0,0.0,109.0,1.0
162.25,80.0,1.0,97.0,0.0
170.89,80.0,1.0,136.0,0.0
167.89,131.0,1.0,108.0,0.0
156.08,125.0,0.0,120.0,1.0
180.85,81.0,1.0,189.0,0.0
159.55,35.0,0.0,45.0,1.0
163.26,129.0,0.0,32.0,0.0
164.0,86.0,1.0,194.0,0.0
159.95,36.0,0.0,107.0,1.0
156.35,42.0,1.0,78.0,0.0
204.62,63.0,1.0,198.0,0.0
154.9,178.0,1.0,85.0,1.0
158.93,189.0,0.0,60.0,0.0
202.67,83.0,1.0,133.0,0.0
203.26,75.0,1.0,113.0,0.0
163.04,152.0,0.0,72.0,1.0
177.74,67.0,1.0,161.0,0.0
166.73,43.0,0.0,86.0,0.0
150.26,122.0,0.0,88.0,0.0
174.76,89.0,1.0,109.0,0.0
165.39,141.0,0.0,67.0,0.0
209.84,93.0,1.0,86.0,0.0
169.09,89.0,1.0,121.0,0.0
163.43,37.0,0.0,30.0,1.0
162.33,199.0,1.0,47.0,1.0
192.41,85.0,1.0,190.0,0.0
165.09,125.0,0.0,86.0,1.0
158.96,126.0,0.0,80.0,1.0
203.27,55.0,1.0,136.0,0.0
151.37,37.0,0.0,92.0,1.0
156.51,180.0,1.0,62.0,1.0
174.7,94.0,1.0,176.0,0.0
159.65,173.0,0.0,40.0,1.0
169.66,150.0,0.0,83.0,0.0
191.47,70.0,1.0,164.0,0.0
182.36,73.0,1.0,136.0,0.0
168.38,106.0,0.0,50.0,0.0
192.22,50.0,1.0,171.0,0.0
163.57,103.0,0.0,34.0,0.0
164.61,136.0,0.0,106.0,0.0
173.08,88.0,1.0,121.0,0.0
163.37,41.0,0.0,82.0,1.0
175.46,100.0,1.0,177.0,0.0
171.57,84.0,1.0,173.0,0.0
150.38,40.0,1.0,82.0,0.0
161.97,36.0,0.0,36.0,0.0
167.53,59.0,1.0,116.0,0.0
151.68,48.0,1.0,38.0,1.0
156.14,37.0,0.0,102.0,0.0
201.48,69.0,1.0,114.0,0.0
159.8,156.0,0.0,90.0,0.0
152.27,39.0,0.0,76.0,0.0
200.0,52.0,1.0,92.0,0.0
158.5,104.0,1.0,64.0,0.0
153.73,40.0,0.0,108.0,0.0
174.39,95.0,1.0,194.0,0.0
173.14,74.0,1.0,142.0,0.0
167.19,129.0,0.0,35.0,0.0
160.36,57.0,1.0,114.0,0.0
161.43,49.0,0.0,89.0,0.0
166.16,132.0,0.0,32.0,0.0
176.04,74.0,1.0,180.0,0.0
151.19,169.0,1.0,99.0,0.0
204.79,69.0,1.0,101.0,0.0
188.83,59.0,1.0,162.0,0.0
164.17,103.0,1.0,93.0,0.0
150.87,47.0,0.0,86.0,0.0
170.19,57.0,1.0,117.0,0.0
162.31,200.0,0.0,60.0,1.0
156.77,108.0,0.0,90.0,1.0
197.73,65.0,1.0,142.0,0.0
162.62,47.0,0.0,66.0,1.0
152.56,48.0,0.0,32.0,1.0
189.88,97.0,1.0,142.0,0.0
169.49,47.0,0.0,106.0,1.0
154.68,40.0,0.0,35.0,1.0
199.96,61.0,1.0,143.0,0.0
204.23,96.0,1.0,95.0,0.0
150.01,45.0,0.0,73.0,1.0
189.74,82.0,1.0,161.0,0.0
160.35,37.0,1.0,40.0,0.0
152.39,166.0,1.0,115.0,1.0
196.15,87.0,1.0,84.0,0.0
156.98,38.0,0.0,66.0,1.0
207.81,55.0,1.0,119.0,0.0
189.4,66.0,1.0,180.0,0.0
151.18,39.0,0.0,67.0,0.0
164.56,38.0,1.0,75.0,0.0
190.69,91.0,1.0,83.0,0.0
150.88,178.0,1.0,100.0,0.0
150.44,165.0,1.0,74.0,1.0
177.09,95.0,1.0,172.0,0.0
156.16,48.0,0.0,110.0,0.0
152.28,47.0,1.0,59.0,0.0
167.32,79.0,1.0,171.0,0.0
169.61,194.0,1.0,104.0,0.0
159.85,39.0,0.0,52.0,0.0
181.77,86.0,1.0,178.0,0.0
173.86,61.0,1.0,112.0,0.0
156.08,188.0,1.0,105.0,1.0
201.03,76.0,1.0,102.0,0.0
157.4,38.0,0.0,49.0,0.0
168.33,44.0,1.0,62.0,0.0
193.92,97.0,1.0,197.0,0.0
163.96,40.0,1.0,44.0,1.0
166.12,61.0,1.0,142.0,0.0
197.09,74.0,1.0,132.0,0.0
166.32,44.0,1.0,115.0,0.0
159.14,125.0,0.0,42.0,0.0
193.98,70.0,1.0,180.0,0.0
168.01,108.0,1.0,120.0,1.0
154.02,103.0,1.0,114.0,1.0
178.99,99.0,1.0,94.0,0.0
160.89,36.0,0.0,81.0,1.0
155.9,48.0,1.0,113.0,1.0
197.95,53.0,1.0,144.0,0.0
155.77,49.0,0.0,112.0,0.0
153.22,128.0,1.0,103.0,1.0
184.65,52.0,1.0,118.0,0.0
194.63,60.0,1.0,128.0,0.0
159.5,159.0,0.0,82.0,1.0
203.25,85.0,1.0,104.0,0.0
165.29,107.0,0.0,54.0,1.0
158.03,47.0,1.0,45.0,0.0
160.38,80.0,1.0,91.0,0.0
156.31,47.0,0.0,68.0,0.0
191.25,84.0,1.0,165.0,0.0
165.79,84.0,1.0,100.0,0.0
156.24,50.0,1.0,96.0,0.0
156.11,152.0,1.0,35.0,1.0
192.05,99.0,1.0,183.0,0.0
151.41,106.0,1.0,85.0,0.0
155.64,200.0,1.0,37.0,0.0
207.71,98.0,1.0,192.0,0.0
157.0,125.0,0.0,94.0,0.0
156.53,38.0,0.0,116.0,0.0
197.74,74.0,1.0,122.0,0.0
154.42,36.0,0.0,81.0,0.0
162.75,136.0,1.0,61.0,0.0
207.72,55.0,1.0,144.0,0.0
174.65,84.0,1.0,97.0,0.0
167.95,133.0,0.0,44.0,1.0
172.99,84.0,1.0,149.0,0.0
152.65,129.0,0.0,107.0,1.0
157.9,152.0,0.0,106.0,1.0
161.75,53.0,1.0,146.0,0.0
167.16,132.0,0.0,58.0,1.0
180.59,99.0,1.0,182.0,0.0
191.19,65.0,1.0,167.0,0.0
169.42,40.0,1.0,74.0,0.0
150.24,191.0,1.0,52.0,0.0
163.7,87.0,1.0,146.0,0.0
164.65,48.0,1.0,72.0,1.0
162.54,42.0,1.0,45.0,1.0
184.79,54.0,1.0,170.0,0.0
166.15,103.0,0.0,117.0,1.0
163.38,47.0,0.0,95.0,0.0
190.27,87.0,1.0,150.0,0.0
